Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
Transient.killer.whales,0,0.000135059,0.02542091,11.15693,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed.whales,0,0.03489648,0.06928051,17.42384,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,2.52E-05,0,5.29E-06,0,1.43E-06,0,0,0,0,2.52E-08,0
Gray.whales,0,0.0326672,0.063365,8.87285,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen.whales,0,0.5079377,0.02807065,6.671232,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.000000183,0,1.91E-05,0,0,0,0,0,0,2.00E-10,0
Pinnipeds,0,0.01569324,0.08752808,20.78036,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,6.38E-05,0,5.09E-06,3.29E-08,2.69E-07,0,0,0,0,6.38E-08,0
Walrus.bd.seals,0,0.1142484,0.051293,15.37061,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,3.09E-05,0,5.93E-06,0,0,0,0,0,0,3.09E-08,0
N.fur.seal_Juv,0,0.000878013,0.2519075,82.20007,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.fur.seal_Adu,0,0.03262547,0.091245,39.03033,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,3.68E-05,0,0.000000123,0,0,0,0,0,0,3.68E-08,0
Ice.seals,0,0.03029022,0.068998,19.19651,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.000031609,0,2.60E-07,0,2.36E-08,0,0,0,0,3.16E-08,0
Oth.birds,0,0.000656462,0.1239671,73.18962,,,0,0.2,,0,0.4,0.6,4.00E-10,0,1.20E-09,0,0,0,0,0,0,9.69E-08,4.90E-09,2.44E-06,0,0,0,0,0,0
Murres.puffins,0,0.008617982,0.1623509,72.05511,,,0,0.2,,0,0.4,0.6,5.70E-09,0,1.52E-08,0,0,0,0,0,0,1.27E-06,6.46E-08,3.21E-05,0,0,0,0,0,0
Kittiwakes,0,0.000662705,0.07688104,110,,,0,0.2,,0,0.4,0.6,4.00E-10,0,1.20E-09,0,0,0,0,0,0,9.79E-08,0.000000005,2.47E-06,0,0,0,0,0,0
Auklets,0,0.001754495,0.1694877,110,,,0,0.2,,0,0.4,0.6,1.20E-09,0,3.10E-09,0,0,0,0,0,0,2.59E-07,1.31E-08,0.000006529,0,0,0,0,0,0
Fulmars,0,0.000520162,0.055,73,,,0,0.2,,0,0.4,0.6,3.00E-10,0,9.00E-10,0,0,0,0,0,0,7.68E-08,3.90E-09,1.94E-06,0,0,0,0,0,0
Albatross,0,0.0001,0.06756634,75,,,0,0.2,,0,0.4,0.6,1.00E-10,0,2.00E-10,0,0,0,0,0,0,1.48E-08,7.00E-10,3.72E-07,0,0,0,0,0,0
Sharks,0,0.0532473,0.1,3,,,0,0.2,,0,0.4,0.6,0.000014321,0,1.17E-06,0,0,0,0,0,0,0.000340156,0,0.000253949,0.000101067,0,0,0,0,0
W.pollock_Juv,0,4.492684,1.453282,8.4045,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.pollock_Adu,0,18.48621,0.6672099,3.17,,,0,0.2,,0.02,0.392,0.588,0.4037377,0.000000015,0.00044468,0,0,0,0,0,0,2.098998,1.01E-05,0.005915234,0,0,0,0,0,0
P.cod_Juv,0,0.1859541,1.782069,8.828409,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.cod_Adu,0,2.464969,0.4118969,2.28,,,0,0.2,,0.02,0.392,0.588,0.1135761,0.009141736,0.1013533,0,0,0,0,0,0,0.08754566,0.008973588,0.1008957,0.000912915,0,0,0,0,0
Herring,0,0.7827157,0.4800258,4.453655,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0.02152522,0,0,0.007604348,0,0,0,0,0,2.15E-05,0,0
Arrowtooth_Juv,0,0.00624092,0.8101363,6.138721,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth_Adu,0,0.9443421,0.18,1.16,,,0,0.2,,0.02,0.392,0.588,0.004770957,5.57E-07,0.001111713,0,0,0,0,0,0,0.02607072,3.78E-06,0.003865624,0.000229308,0,0,0,0,0
Kamchatka,0,0.05644055,0.1841371,1.192687,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gr.Turbot_Juv,0,0.007470302,1.700589,7.884608,,,0,0.2,,0.02,0.392,0.588,0,0.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0
Gr.Turbot_Adu,0,0.3493044,0.18,1.16,,,0,0.2,,0.02,0.392,0.588,0.002055703,2.09E-06,0.002079407,0,0,0,0,0,0,0.001552921,6.56E-06,0.003256797,0,0,0,0,0,0
P.halibut_Juv,0,0.001864732,2.399714,9.303193,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0
P.halibut_Adu,0,0.2218969,0.19,1.1,,,0,0.2,,0.02,0.392,0.588,0,0.00E+00,0.00E+00,0.008051394,0,0,0,0,0,0.0103564,6.53E-06,0.000863621,0.00019952,0,0,0,0,0
YF.sole,0,5.257974,0.1794535,0.9785171,,,0,0.2,,0.02,0.392,0.588,0.1373934,1.27E-08,6.22E-07,0,0,0,0,0,0,0.09856506,0.000025717,0.000134071,0,0,0,0,0,0
FH.sole,0,1.341173,0.2747626,2.208904,,,0,0.2,,0.02,0.392,0.588,0.006420363,6.37E-08,1.46E-05,0,0,0,0,0,0,0.02191244,4.97E-07,2.27E-04,0,0,0,0,0,0
N.Rock.sole,0,3.383012,0.2344138,1.248923,,,0,0.2,,0.02,0.392,0.588,0.03977767,5.22E-08,4.49E-06,0,0,0,0,0,0,0.07272533,5.35E-07,3.19E-05,0,0,0,0,0,0
AK.Plaice,0,1.068403,0.2,2,,,0,0.2,,0.02,0.392,0.588,0.006786403,6.73E-08,1.55E-05,0,0,0,0,0,0,0.02315895,5.25E-07,2.40E-04,0,0,0,0,0,0
Other.flatfish,0,0.2625473,0.2,2,,,0,0.2,,0.02,0.392,0.588,0.002128143,1.60E-08,3.69E-06,0,0,0,0,0,0,0.005694587,1.27E-07,5.73E-05,0,0,0,0,0,0
Skates,0,0.7733867,0.2,2,,,0,0.2,,0.02,0.392,0.588,0.000677386,2.46E-07,0.003614911,0,0,0,0,0,0,6.85E-03,3.22E-08,0.01703494,0.00012489,0,0,0,0,0
Sablefish,0,0.03529129,0.416193,1.240721,,,0,0.2,,0.02,0.392,0.588,0.000445208,1.45E-05,0.001879364,0.000335446,0,0,0,0,0,6.20E-05,3.41E-08,0.000032276,0,0,0,0,0,0
