Year,Outside,Transient.killer.whales,Toothed.whales,Gray.whales,Baleen.whales,Pinnipeds,Walrus.bd.seals,N.fur.seal_Juv,N.fur.seal_Adu,Ice.seals,Oth.birds,Murres.puffins,Kittiwakes,Auklets,Fulmars,Albatross,Sharks,W.pollock_Juv,W.pollock_Adu,P.cod_Juv,P.cod_Adu,Herring,Arrowtooth_Juv,Arrowtooth_Adu,Kamchatka,Gr.Turbot_Juv,Gr.Turbot_Adu,P.halibut_Juv,P.halibut_Adu,YF.sole,FH.sole,N.Rock.sole,AK.Plaice,Other.flatfish,Skates,Sablefish,Eelpouts,Deep.demersals,POP,Oth.rockfish,North.rockfish,Shortraker.rock,Rougheye.rock,Atka.mackerel,Shallow.demersals,Lg.Sculpins,Octopi ,Squids,Salmon.returning,Salmon.smolts,Mycto.bathy,Capelin,Sandlance,Other.forage,Bairdi,King.Crab,Opilio,Pandalidae,Ben.zooplankton,Motile.epifauna,Structural.epifauna,Infauna,Jellyfish,Pel.zooplankton,Euphausiids,Copepods,Pelagic.microbes,Benthic.microbes,Lg.phytoplankton,Sm.phytoplankton,Discards.offal,Pelagic.Detritus,Benthic.Detritus
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743763,0,43054,0,0,18792,0,0,40464,0,0,160399,0,0,0,0,0,15106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25490,8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874534,0,42905,0,0,13123,0,0,64510,0,0,47856,0,0,0,0,0,12758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20710,12004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758919,0,53386,0,0,9217,0,0,55280,0,0,78240,0,0,0,0,0,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16900,12890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588390,0,62462,0,0,21473,0,0,69654,0,0,42235,0,0,0,0,0,4258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218,22612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356736,0,51551,0,0,20832,0,0,64819,0,0,64690,0,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34799,24385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177822,0,50481,0,0,17806,0,0,60523,0,0,56221,0,0,0,0,0,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25176,32675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978370,0,33335,0,0,9454,0,0,27708,0,0,58373,7909,5319,2589,0,0,2718,0,0,2406,52,5,0,2,0,0,0,0,4926,0,0,0,0,0,0,33779,35916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979431,0,42543,7032,0,8358,0,0,37423,0,0,138433,6892,7038,10420,0,0,1192,0,0,2230,304,32,1069,99,831,0,0,0,6886,0,0,0,0,0,0,37741,44865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913881,0,33761,10093,0,7921,0,0,34998,0,0,99017,4351,5874,13672,0,0,1376,0,0,1722,281,46,279,477,1985,0,0,0,4286,0,0,0,0,0,0,22585,53057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958279,0,45861,22241,0,13761,0,0,48856,0,0,87391,4897,8798,6902,0,0,2206,0,0,959,567,89,649,160,4955,0,0,0,4040,0,0,0,0,0,0,21728,64956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
