TSTEP,MONTH,YEAR,EUPH_hind,COP_hind,MZ_hind,PhL_hind,PhS_hind
1,1,1971,-0.3851856,-0.301811415,-0.330242477,0.022927312,-0.482131624
2,2,1971,-0.555597215,-0.433615027,-0.452587794,-0.143897768,-0.228004484
3,3,1971,0.069318712,0.124761395,-0.545414648,-0.129644604,-0.246483003
4,4,1971,-0.045848261,-0.041659899,-0.326389615,-0.228842166,-0.400533864
5,5,1971,-0.084738515,-0.100225916,-0.451845775,-0.533493603,-0.647124693
6,6,1971,-0.25052168,-0.267983805,-0.43660761,-0.324463021,-0.565332815
7,7,1971,0.000601927,0.008915916,-0.088039891,0.481550911,-0.144143339
8,8,1971,0.655054312,0.605538718,0.198686195,0.984870192,-0.171994943
9,9,1971,0.319754001,0.259348198,0.137575764,0.775799117,-0.146443026
10,10,1971,0.423382788,0.388294589,0.160091338,0.508271663,-0.021176451
11,11,1971,0.021060346,-0.040841962,0.025387383,0.331404941,-0.149558063
12,12,1971,-0.315142463,-0.327271002,-0.269712354,-0.107616157,-0.367410711
13,1,1972,-0.574679411,-0.627906339,-0.380582995,0.013469913,-0.497861963
14,2,1972,-0.6110506,-0.472209781,-0.552623465,-0.015681304,-0.157350166
15,3,1972,0.421968382,0.551986735,-0.612742153,0.003155199,-0.178533131
16,4,1972,0.586354482,0.52126515,-0.279788775,0.236444412,-0.144012737
17,5,1972,-0.096590192,-0.108723397,-0.200835043,0.166534936,-0.225116858
18,6,1972,-0.120135491,-0.117353865,-0.219016113,0.119084137,-0.273196058
19,7,1972,0.322547005,0.297646609,-0.03197031,0.023617618,-0.273082614
20,8,1972,0.019621755,-0.035514915,0.022587706,0.195412653,-0.402914918
21,9,1972,0.000990586,-0.05683473,-0.005159412,0.404901294,-0.462041244
22,10,1972,0.31866569,0.226428677,0.038084111,0.16278965,-0.305378378
23,11,1972,0.07989048,-0.002284841,0.170122718,0.654982967,-0.251104492
24,12,1972,0.164558315,0.126520341,-0.036252096,0.001096404,-0.534085226
25,1,1973,-0.301237903,-0.415584866,-0.205250982,-0.168965901,-0.459419967
26,2,1973,-0.716771854,-0.655162709,-0.330146824,-0.095768749,0.07059606
27,3,1973,-0.558131959,-0.570712344,-0.464715651,-0.224644213,-0.008677665
